0.358	1.679E-03	0.0
0.382	1.679E-03	0.0
0.712	9.885E-01	4.089
0.878	2.088E+00	34.897
1.132	1.747E+00	66.048
1.48	7.897E-01	52.728
1.859	2.770E-01	28.588
2.042	1.943E-01	28.791
2.194	1.469E-01	29.832
2.622	4.184E-02	9.701
2.71	4.672E-02	11.376
3.111	1.377E-02	3.798
3.279	1.042E-02	3.15
3.511	5.861E-03	2.059
3.796	2.756E-03	1.111
3.884	2.900E-03	1.302
4.194	1.679E-03	0.651
0.358	1.679E-03	0.0
0.382	1.679E-03	0.0
0.712	9.885E-01	4.089
0.878	2.088E+00	34.897
1.132	1.747E+00	66.048
1.48	7.897E-01	52.728
1.859	2.770E-01	28.588
2.042	1.943E-01	28.791
2.194	1.469E-01	29.832
2.622	4.184E-02	9.701
2.71	4.672E-02	11.376
3.111	1.377E-02	3.798
3.279	1.042E-02	3.15
3.511	5.861E-03	2.059
3.796	2.756E-03	1.111
3.884	2.900E-03	1.302
4.194	1.679E-03	0.651
0.358	5.595E-03	0.0
0.382	5.595E-03	0.0
0.712	3.295E+00	4.089
0.878	6.959E+00	34.897
1.132	5.822E+00	66.048
1.48	2.632E+00	52.728
1.859	9.232E-01	28.588
2.042	6.475E-01	28.791
2.194	4.895E-01	29.832
2.622	1.395E-01	9.701
2.71	1.557E-01	11.376
3.111	4.590E-02	3.798
3.279	3.474E-02	3.15
3.511	1.954E-02	2.059
3.796	9.185E-03	1.111
3.884	9.667E-03	1.302
4.194	5.595E-03	0.651
0.358	5.595E-03	0.0
0.382	5.595E-03	0.0
0.712	3.295E+00	4.089
0.878	6.959E+00	34.897
1.132	5.822E+00	66.048
1.48	2.632E+00	52.728
1.859	9.232E-01	28.588
2.042	6.475E-01	28.791
2.194	4.895E-01	29.832
2.622	1.395E-01	9.701
2.71	1.557E-01	11.376
3.111	4.590E-02	3.798
3.279	3.474E-02	3.15
3.511	1.954E-02	2.059
3.796	9.185E-03	1.111
3.884	9.667E-03	1.302
4.194	5.595E-03	0.651
